date time,date,time,latitude,longitude,accuracy(m),altitude(m),speed(m/s),bearing(deg),sat_used,sat_inview
09-07-23 00:33,09-07-23,00:33:45,-8.89573839,116.302817,4.00,58.259,0.637,242,22,28
09-07-23 00:36,09-07-23,00:36:44,-8.89588264,116.3028514,4.00,55.069,0.02,78,22,32
09-07-23 00:36,09-07-23,00:36:45,-8.89588259,116.3028513,4.00,55.105,0.009,78,22,30
09-07-23 00:36,09-07-23,00:36:46,-8.89588198,116.3028525,4.00,55.074,0.141,78,21,31
09-07-23 00:36,09-07-23,00:36:47,-8.89587935,116.3028602,4.00,55.089,0.529,73,22,32
09-07-23 00:36,09-07-23,00:36:48,-8.89587398,116.302876,4.00,55.048,1.174,71,22,31
09-07-23 00:36,09-07-23,00:36:49,-8.89586464,116.3029031,4.00,55.094,1.981,71,23,32
09-07-23 00:36,09-07-23,00:36:50,-8.89584943,116.3029489,4.00,55.172,3.135,72,21,32
09-07-23 00:36,09-07-23,00:36:51,-8.89583016,116.3030076,4.00,55.232,4.243,72,23,31
09-07-23 00:36,09-07-23,00:36:52,-8.89581024,116.3030687,4.00,55.311,5.06,72,22,32
09-07-23 00:36,09-07-23,00:36:53,-8.89578783,116.3031389,4.00,55.31,5.792,72,23,32
09-07-23 00:36,09-07-23,00:36:54,-8.89576445,116.303213,4.00,55.386,6.361,72,22,31
09-07-23 00:36,09-07-23,00:36:55,-8.89573977,116.303288,4.00,55.566,6.775,73,22,31
09-07-23 00:36,09-07-23,00:36:56,-8.89571798,116.3033622,4.00,55.607,8.515,74,22,31
09-07-23 00:36,09-07-23,00:36:57,-8.89569725,116.3034373,4.00,55.716,8.458,74,22,32
09-07-23 00:36,09-07-23,00:36:58,-8.89567633,116.3035112,4.00,55.753,8.409,74,21,32
09-07-23 00:36,09-07-23,00:36:59,-8.89565636,116.303585,4.00,55.831,8.353,75,22,31
09-07-23 00:37,09-07-23,00:37:00,-8.89563763,116.3036584,4.00,55.922,8.316,75,22,31
09-07-23 00:37,09-07-23,00:37:01,-8.89562017,116.3037299,4.00,56.145,8.211,75,22,32
09-07-23 00:37,09-07-23,00:37:02,-8.89560194,116.3038015,4.00,55.87,8.146,76,20,33
09-07-23 00:37,09-07-23,00:37:03,-8.89558402,116.303874,4.00,55.907,8.18,76,22,32
09-07-23 00:37,09-07-23,00:37:04,-8.89556486,116.3039457,4.00,55.97,8.128,75,22,33
09-07-23 00:37,09-07-23,00:37:05,-8.89554646,116.3040164,4.00,56.015,8.087,75,21,32
09-07-23 00:37,09-07-23,00:37:06,-8.89552858,116.3040871,4.00,56.077,8.037,76,22,33
09-07-23 00:37,09-07-23,00:37:07,-8.89551057,116.3041563,4.00,56.267,7.956,75,21,32
09-07-23 00:37,09-07-23,00:37:08,-8.89549159,116.3042259,4.00,56.271,7.962,75,22,31
09-07-23 00:37,09-07-23,00:37:09,-8.89547236,116.3042946,4.00,56.324,7.911,74,22,32
09-07-23 00:37,09-07-23,00:37:10,-8.89545115,116.3043642,4.00,56.329,7.873,73,22,31
09-07-23 00:37,09-07-23,00:37:11,-8.89543148,116.304432,4.00,56.363,7.797,73,23,32
09-07-23 00:37,09-07-23,00:37:12,-8.89541189,116.3044991,4.00,56.382,7.759,74,22,32
09-07-23 00:37,09-07-23,00:37:13,-8.89539331,116.3045674,4.00,56.379,7.724,74,21,32
09-07-23 00:37,09-07-23,00:37:14,-8.89537507,116.3046352,4.00,56.443,7.675,75,23,32
09-07-23 00:37,09-07-23,00:37:15,-8.89535709,116.304702,4.00,56.469,7.625,75,22,33
09-07-23 00:37,09-07-23,00:37:16,-8.89533896,116.3047687,4.00,56.521,7.579,75,22,33
09-07-23 00:37,09-07-23,00:37:17,-8.89532116,116.3048352,4.00,56.541,7.534,75,23,33
09-07-23 00:37,09-07-23,00:37:18,-8.89530355,116.3049008,4.00,56.544,7.489,75,22,32
09-07-23 00:37,09-07-23,00:37:19,-8.8952866,116.3049661,4.00,56.54,7.461,75,23,32
09-07-23 00:37,09-07-23,00:37:20,-8.89526976,116.305031,4.00,56.535,7.409,75,23,33
